rb_name,left_end,left_tackle,left_guard,right_guard,right_tackle,right_end
L.Bell,7.303370786516854,10.112359550561797,20.224719101123593,34.831460674157306,21.34831460674157,6.179775280898876
L.Fournette,19.17808219178082,23.28767123287671,23.28767123287671,16.43835616438356,8.904109589041095,8.904109589041095
L.McCoy,25.0,15.277777777777779,11.11111111111111,18.055555555555554,12.5,18.055555555555554
M.Brown,10.638297872340425,31.914893617021278,19.148936170212767,8.51063829787234,21.27659574468085,8.51063829787234
M.Ingram,2.4691358024691357,11.11111111111111,17.28395061728395,37.03703703703704,25.925925925925924,6.172839506172839
M.Walton,2.941176470588235,20.588235294117645,20.588235294117645,17.647058823529413,0,38.23529411764706
M.Mack,34.868421052631575,7.236842105263158,21.052631578947366,13.157894736842104,7.236842105263158,16.447368421052634
M.Breida,19.791666666666664,23.958333333333336,12.5,13.541666666666666,13.541666666666666,16.666666666666664
M.Davis,36.36363636363637,36.36363636363637,18.181818181818183,0,0,9.090909090909092
M.Sanders,22.302158273381295,15.827338129496402,7.913669064748201,8.633093525179856,11.510791366906476,33.81294964028777
N.Chubb,7.818930041152264,21.810699588477366,23.456790123456788,28.39506172839506,15.22633744855967,3.292181069958848
N.Hines,24.137931034482758,6.896551724137931,10.344827586206897,27.586206896551722,10.344827586206897,20.689655172413794
P.DiMarco,100.0,0,0,0,0,0
P.Barber,6.8181818181818175,14.772727272727273,31.818181818181817,26.136363636363637,15.909090909090908,4.545454545454546
P.Lindsay,16.89189189189189,16.216216216216218,16.216216216216218,12.162162162162163,24.324324324324326,14.18918918918919
R.Mostert,12.612612612612612,18.01801801801802,20.72072072072072,12.612612612612612,26.126126126126124,9.90990990990991
R.Penny,20.0,14.000000000000002,22.0,10.0,22.0,12.0
R.Burkhead,15.909090909090908,25.0,20.454545454545457,15.909090909090908,13.636363636363635,9.090909090909092
R.Jones,12.264150943396226,16.037735849056602,18.867924528301888,20.754716981132077,23.58490566037736,8.49056603773585
R.Freeman,13.414634146341465,13.414634146341465,8.536585365853659,25.609756097560975,20.73170731707317,18.29268292682927
R.Armstead,45.0,15.0,10.0,10.0,0,20.0
S.Barkley,9.45945945945946,14.18918918918919,17.56756756756757,22.2972972972973,22.2972972972973,14.18918918918919
S.Michel,13.541666666666666,12.5,17.708333333333336,26.5625,14.583333333333334,15.104166666666666
T.Cohen,31.11111111111111,11.11111111111111,20.0,11.11111111111111,13.333333333333334,13.333333333333334
T.Coleman,17.346938775510203,17.346938775510203,10.204081632653061,16.3265306122449,21.428571428571427,17.346938775510203
T.Gurley,15.950920245398773,23.92638036809816,11.042944785276074,12.883435582822086,25.766871165644172,10.429447852760736
T.Pollard,14.492753623188406,17.391304347826086,15.942028985507244,17.391304347826086,15.942028985507244,18.84057971014493
T.Johnson,27.027027027027028,13.513513513513514,8.108108108108109,2.7027027027027026,35.13513513513514,13.513513513513514
T.Montgomery,26.31578947368421,15.789473684210526,31.57894736842105,15.789473684210526,0,10.526315789473683
W.Gallman,0,0,0,0,0,0
W.Smallwood,11.11111111111111,16.666666666666664,11.11111111111111,11.11111111111111,22.22222222222222,27.77777777777778
